sample	f_fq1	f_fq2	s_fq1	s_fq2
NTM00014	NTM00014_S55_R1_001.fastq.gz	NTM00014_S55_R2_001.fastq.gz	NTM00014_S38_R1_001.fastq.gz	NTM00014_S38_R2_001.fastq.gz
NTM00025	NTM00025_S81_R1_001.fastq.gz	NTM00025_S81_R2_001.fastq.gz	NTM00025_S64_R1_001.fastq.gz	NTM00025_S64_R2_001.fastq.gz
NTM00030	NTM00030_S28_R1_001.fastq.gz	NTM00030_S28_R2_001.fastq.gz	NTM00030_S11_R1_001.fastq.gz	NTM00030_S11_R2_001.fastq.gz
NTM00033	NTM00033_S79_R1_001.fastq.gz	NTM00033_S79_R2_001.fastq.gz	NTM00033_S62_R1_001.fastq.gz	NTM00033_S62_R2_001.fastq.gz
NTM00035	NTM00035_S19_R1_001.fastq.gz	NTM00035_S19_R2_001.fastq.gz	NTM00035_S2_R1_001.fastq.gz	NTM00035_S2_R2_001.fastq.gz
NTM00060	NTM00060_S84_R1_001.fastq.gz	NTM00060_S84_R2_001.fastq.gz	NTM00060_S67_R1_001.fastq.gz	NTM00060_S67_R2_001.fastq.gz
NTM00062	NTM00062_S18_R1_001.fastq.gz	NTM00062_S18_R2_001.fastq.gz	NTM00062_S1_R1_001.fastq.gz	NTM00062_S1_R2_001.fastq.gz
NTM00067	NTM00067_S23_R1_001.fastq.gz	NTM00067_S23_R2_001.fastq.gz	NTM00067_S6_R1_001.fastq.gz	NTM00067_S6_R2_001.fastq.gz
NTM00075	NTM00075_S41_R1_001.fastq.gz	NTM00075_S41_R2_001.fastq.gz	NTM00075_S24_R1_001.fastq.gz	NTM00075_S24_R2_001.fastq.gz
NTM00100	NTM00100_S63_R1_001.fastq.gz	NTM00100_S63_R2_001.fastq.gz	NTM00100_S46_R1_001.fastq.gz	NTM00100_S46_R2_001.fastq.gz
NTM00116	NTM00116_S74_R1_001.fastq.gz	NTM00116_S74_R2_001.fastq.gz	NTM00116_S57_R1_001.fastq.gz	NTM00116_S57_R2_001.fastq.gz
NTM00117	NTM00117_S112_R1_001.fastq.gz	NTM00117_S112_R2_001.fastq.gz	NTM00117_S95_R1_001.fastq.gz	NTM00117_S95_R2_001.fastq.gz
NTM00136	NTM00136_S27_R1_001.fastq.gz	NTM00136_S27_R2_001.fastq.gz	NTM00136_S10_R1_001.fastq.gz	NTM00136_S10_R2_001.fastq.gz
NTM00151	NTM00151_S34_R1_001.fastq.gz	NTM00151_S34_R2_001.fastq.gz	NTM00151_S17_R1_001.fastq.gz	NTM00151_S17_R2_001.fastq.gz
NTM00153	NTM00153_S64_R1_001.fastq.gz	NTM00153_S64_R2_001.fastq.gz	NTM00153_S47_R1_001.fastq.gz	NTM00153_S47_R2_001.fastq.gz
NTM00157	NTM00157_S77_R1_001.fastq.gz	NTM00157_S77_R2_001.fastq.gz	NTM00157_S60_R1_001.fastq.gz	NTM00157_S60_R2_001.fastq.gz
NTM00163	NTM00163_S25_R1_001.fastq.gz	NTM00163_S25_R2_001.fastq.gz	NTM00163_S8_R1_001.fastq.gz	NTM00163_S8_R2_001.fastq.gz
NTM00165	NTM00165_S22_R1_001.fastq.gz	NTM00165_S22_R2_001.fastq.gz	NTM00165_S5_R1_001.fastq.gz	NTM00165_S5_R2_001.fastq.gz
NTM00175	NTM00175_S83_R1_001.fastq.gz	NTM00175_S83_R2_001.fastq.gz	NTM00175_S66_R1_001.fastq.gz	NTM00175_S66_R2_001.fastq.gz
NTM00177	NTM00177_S36_R1_001.fastq.gz	NTM00177_S36_R2_001.fastq.gz	NTM00177_S19_R1_001.fastq.gz	NTM00177_S19_R2_001.fastq.gz
NTM00187	NTM00187_S78_R1_001.fastq.gz	NTM00187_S78_R2_001.fastq.gz	NTM00187_S61_R1_001.fastq.gz	NTM00187_S61_R2_001.fastq.gz
NTM00194	NTM00194_S70_R1_001.fastq.gz	NTM00194_S70_R2_001.fastq.gz	NTM00194_S53_R1_001.fastq.gz	NTM00194_S53_R2_001.fastq.gz
NTM00200	NTM00200_S54_R1_001.fastq.gz	NTM00200_S54_R2_001.fastq.gz	NTM00200_S37_R1_001.fastq.gz	NTM00200_S37_R2_001.fastq.gz
NTM00208	NTM00208_S44_R1_001.fastq.gz	NTM00208_S44_R2_001.fastq.gz	NTM00208_S27_R1_001.fastq.gz	NTM00208_S27_R2_001.fastq.gz
NTM00217	NTM00217_S26_R1_001.fastq.gz	NTM00217_S26_R2_001.fastq.gz	NTM00217_S9_R1_001.fastq.gz	NTM00217_S9_R2_001.fastq.gz
