sample	dataset	forward_read	reverse_read
B22_RePMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.82d3fd5e1df54b8a825201cee0cbe2ec/B22_RePMA_S58_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.82d3fd5e1df54b8a825201cee0cbe2ec/B22_RePMA_S58_L001_R2_001.fastq.gz
B20_LyPMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.78f420ae77ae49babf5f6467abf53254/B20_LyPMA_S2_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.78f420ae77ae49babf5f6467abf53254/B20_LyPMA_S2_L001_R2_001.fastq.gz
B19_ReNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.57e40116333a46938b1b3ffdf55c2775/B19_ReNa_S72_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.57e40116333a46938b1b3ffdf55c2775/B19_ReNa_S72_L001_R2_001.fastq.gz
B16_ReNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.50bea3adc96a4b8aac1daa3e1795081a/B16_ReNa_S54_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.50bea3adc96a4b8aac1daa3e1795081a/B16_ReNa_S54_L001_R2_001.fastq.gz
B23_LyDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.54063034804644c597615b5dbd6a5b5b/B23_LyDNase_S34_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.54063034804644c597615b5dbd6a5b5b/B23_LyDNase_S34_L001_R2_001.fastq.gz
B19_NaPMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.c12e81cd7fc148d6840a34cadcdbb936/B19_NaPMA_S38_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.c12e81cd7fc148d6840a34cadcdbb936/B19_NaPMA_S38_L001_R2_001.fastq.gz
B21_NaDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.688db13a940245cdb166d7da7d12439b/B21_NaDNase_S63_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.688db13a940245cdb166d7da7d12439b/B21_NaDNase_S63_L001_R2_001.fastq.gz
B21_LyDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.b5ef4d4f8a6b449185da64acded236de/B21_LyDNase_S71_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.b5ef4d4f8a6b449185da64acded236de/B21_LyDNase_S71_L001_R2_001.fastq.gz
Blank7	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.9f694d0386b5426ab09609a0bc29c30e/Blank7_S79_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.9f694d0386b5426ab09609a0bc29c30e/Blank7_S79_L001_R2_001.fastq.gz
B17_LyNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.fd3f0258254443ddaf49ef28c784e0bf/B17_LyNa_S74_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.fd3f0258254443ddaf49ef28c784e0bf/B17_LyNa_S74_L001_R2_001.fastq.gz
B19_LyNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.e43ec12a618c4bfc99a0d5a214afe341/B19_LyNa_S62_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.e43ec12a618c4bfc99a0d5a214afe341/B19_LyNa_S62_L001_R2_001.fastq.gz
Blank5	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.f4910ac6071a4dfda4dc4d56a10e6bca/Blank5_S55_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.f4910ac6071a4dfda4dc4d56a10e6bca/Blank5_S55_L001_R2_001.fastq.gz
B21_LyNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.d2b2785572ed457391fae708169f4be5/B21_LyNa_S77_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.d2b2785572ed457391fae708169f4be5/B21_LyNa_S77_L001_R2_001.fastq.gz
B19_NaDNase	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.b53cecf428284ded82f07b73e97cf3db/B19_NaDNase_S1_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.b53cecf428284ded82f07b73e97cf3db/B19_NaDNase_S1_L001_R2_001.fastq.gz
B17_RePMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.fdde3847c21548f38a90a1e3bd47d893/B17_RePMA_S33_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.fdde3847c21548f38a90a1e3bd47d893/B17_RePMA_S33_L001_R2_001.fastq.gz
B18_LyPMA	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.a97c15de20c74db49d5ef2d8236fd251/B18_LyPMA_S16_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.a97c15de20c74db49d5ef2d8236fd251/B18_LyPMA_S16_L001_R2_001.fastq.gz
Blank2	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.ca939528899e41059774af841d76bcf6/Blank2_S21_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.ca939528899e41059774af841d76bcf6/Blank2_S21_L001_R2_001.fastq.gz
B16_NaNa	MGX_DATA	/projects/p31648/bmo_shotgun_fastq/ds.fa13da97a41e4b40bef9930012c1064b/B16_NaNa_S6_L001_R1_001.fastq.gz	/projects/p31648/bmo_shotgun_fastq/ds.fa13da97a41e4b40bef9930012c1064b/B16_NaNa_S6_L001_R2_001.fastq.gz
