sample	dataset	forward_read	reverse_read
NTM00644	MGX_DATA	data/NTM00644_S58_R1_001.fastq.gz	data/NTM00644_S58_R2_001.fastq.gz
NTM00399	MGX_DATA	data/NTM00399_S73_R1_001.fastq.gz	data/NTM00399_S73_R2_001.fastq.gz
NTM00014	MGX_DATA	data/NTM00014_S55_R1_001.fastq.gz	data/NTM00014_S55_R2_001.fastq.gz
NTM00136	MGX_DATA	data/NTM00136_S27_R1_001.fastq.gz	data/NTM00136_S27_R2_001.fastq.gz
NTM00157	MGX_DATA	data/NTM00157_S77_R1_001.fastq.gz	data/NTM00157_S77_R2_001.fastq.gz
NTM01198	MGX_DATA	data/NTM01198_S92_R1_001.fastq.gz	data/NTM01198_S92_R2_001.fastq.gz
NTM00261	MGX_DATA	data/NTM00261_S82_R1_001.fastq.gz	data/NTM00261_S82_R2_001.fastq.gz
NTM00532	MGX_DATA	data/NTM00532_S53_R1_001.fastq.gz	data/NTM00532_S53_R2_001.fastq.gz
NTM00317	MGX_DATA	data/NTM00317_S50_R1_001.fastq.gz	data/NTM00317_S50_R2_001.fastq.gz
NTM01029	MGX_DATA	data/NTM01029_S94_R1_001.fastq.gz	data/NTM01029_S94_R2_001.fastq.gz
NTM00281	MGX_DATA	data/NTM00281_S69_R1_001.fastq.gz	data/NTM00281_S69_R2_001.fastq.gz
NTM00499	MGX_DATA	data/NTM00499_S35_R1_001.fastq.gz	data/NTM00499_S35_R2_001.fastq.gz
NTM00398	MGX_DATA	data/NTM00398_S49_R1_001.fastq.gz	data/NTM00398_S49_R2_001.fastq.gz
NTM01451	MGX_DATA	data/NTM01451_S98_R1_001.fastq.gz	data/NTM01451_S98_R2_001.fastq.gz
NTM01103	MGX_DATA	data/NTM01103_S96_R1_001.fastq.gz	data/NTM01103_S96_R2_001.fastq.gz
NTM00537	MGX_DATA	data/NTM00537_S65_R1_001.fastq.gz	data/NTM00537_S65_R2_001.fastq.gz
NTM01028	MGX_DATA	data/NTM01028_S60_R1_001.fastq.gz	data/NTM01028_S60_R2_001.fastq.gz
NTM00635	MGX_DATA	data/NTM00635_S57_R1_001.fastq.gz	data/NTM00635_S57_R2_001.fastq.gz
NTM01391	MGX_DATA	data/NTM01391_S42_R1_001.fastq.gz	data/NTM01391_S42_R2_001.fastq.gz
NTM00357	MGX_DATA	data/NTM00357_S80_R1_001.fastq.gz	data/NTM00357_S80_R2_001.fastq.gz
NTM01428	MGX_DATA	data/NTM01428_S91_R1_001.fastq.gz	data/NTM01428_S91_R2_001.fastq.gz
NTM00436	MGX_DATA	data/NTM00436_S33_R1_001.fastq.gz	data/NTM00436_S33_R2_001.fastq.gz
NTM00473	MGX_DATA	data/NTM00473_S38_R1_001.fastq.gz	data/NTM00473_S38_R2_001.fastq.gz
NTM00269	MGX_DATA	data/NTM00269_S32_R1_001.fastq.gz	data/NTM00269_S32_R2_001.fastq.gz
NTM00502	MGX_DATA	data/NTM00502_S52_R1_001.fastq.gz	data/NTM00502_S52_R2_001.fastq.gz
NTM00177	MGX_DATA	data/NTM00177_S36_R1_001.fastq.gz	data/NTM00177_S36_R2_001.fastq.gz
NTM01261	MGX_DATA	data/NTM01261_S97_R1_001.fastq.gz	data/NTM01261_S97_R2_001.fastq.gz
NTM00576	MGX_DATA	data/NTM00576_S72_R1_001.fastq.gz	data/NTM00576_S72_R2_001.fastq.gz
NTM01343	MGX_DATA	data/NTM01343_S107_R1_001.fastq.gz	data/NTM01343_S107_R2_001.fastq.gz
NTM00217	MGX_DATA	data/NTM00217_S26_R1_001.fastq.gz	data/NTM00217_S26_R2_001.fastq.gz
NTM00995	MGX_DATA	data/NTM00995_S104_R1_001.fastq.gz	data/NTM00995_S104_R2_001.fastq.gz
NTM00641	MGX_DATA	data/NTM00641_S68_R1_001.fastq.gz	data/NTM00641_S68_R2_001.fastq.gz
NTM00033	MGX_DATA	data/NTM00033_S79_R1_001.fastq.gz	data/NTM00033_S79_R2_001.fastq.gz
NTM00442	MGX_DATA	data/NTM00442_S75_R1_001.fastq.gz	data/NTM00442_S75_R2_001.fastq.gz
NTM00395	MGX_DATA	data/NTM00395_S20_R1_001.fastq.gz	data/NTM00395_S20_R2_001.fastq.gz
NTM01126	MGX_DATA	data/NTM01126_S106_R1_001.fastq.gz	data/NTM01126_S106_R2_001.fastq.gz
NTM00978	MGX_DATA	data/NTM00978_S86_R1_001.fastq.gz	data/NTM00978_S86_R2_001.fastq.gz
NTM01080	MGX_DATA	data/NTM01080_S43_R1_001.fastq.gz	data/NTM01080_S43_R2_001.fastq.gz
NTM00062	MGX_DATA	data/NTM00062_S18_R1_001.fastq.gz	data/NTM00062_S18_R2_001.fastq.gz
NTM00151	MGX_DATA	data/NTM00151_S34_R1_001.fastq.gz	data/NTM00151_S34_R2_001.fastq.gz
NTM00615	MGX_DATA	data/NTM00615_S103_R1_001.fastq.gz	data/NTM00615_S103_R2_001.fastq.gz
NTM01286	MGX_DATA	data/NTM01286_S108_R1_001.fastq.gz	data/NTM01286_S108_R2_001.fastq.gz
NTM00187	MGX_DATA	data/NTM00187_S78_R1_001.fastq.gz	data/NTM00187_S78_R2_001.fastq.gz
NTM01188	MGX_DATA	data/NTM01188_S88_R1_001.fastq.gz	data/NTM01188_S88_R2_001.fastq.gz
NTM00067	MGX_DATA	data/NTM00067_S23_R1_001.fastq.gz	data/NTM00067_S23_R2_001.fastq.gz
NTM00163	MGX_DATA	data/NTM00163_S25_R1_001.fastq.gz	data/NTM00163_S25_R2_001.fastq.gz
NTM01163	MGX_DATA	data/NTM01163_S47_R1_001.fastq.gz	data/NTM01163_S47_R2_001.fastq.gz
NTM00035	MGX_DATA	data/NTM00035_S19_R1_001.fastq.gz	data/NTM00035_S19_R2_001.fastq.gz
NTM00446	MGX_DATA	data/NTM00446_S30_R1_001.fastq.gz	data/NTM00446_S30_R2_001.fastq.gz
NTM00489	MGX_DATA	data/NTM00489_S66_R1_001.fastq.gz	data/NTM00489_S66_R2_001.fastq.gz
NTM01108	MGX_DATA	data/NTM01108_S100_R1_001.fastq.gz	data/NTM01108_S100_R2_001.fastq.gz
NTM01227	MGX_DATA	data/NTM01227_S110_R1_001.fastq.gz	data/NTM01227_S110_R2_001.fastq.gz
NTM00410	MGX_DATA	data/NTM00410_S21_R1_001.fastq.gz	data/NTM00410_S21_R2_001.fastq.gz
NTM00030	MGX_DATA	data/NTM00030_S28_R1_001.fastq.gz	data/NTM00030_S28_R2_001.fastq.gz
NTM00265	MGX_DATA	data/NTM00265_S40_R1_001.fastq.gz	data/NTM00265_S40_R2_001.fastq.gz
NTM01298	MGX_DATA	data/NTM01298_S111_R1_001.fastq.gz	data/NTM01298_S111_R2_001.fastq.gz
NTM00236	MGX_DATA	data/NTM00236_S24_R1_001.fastq.gz	data/NTM00236_S24_R2_001.fastq.gz
NTM00075	MGX_DATA	data/NTM00075_S41_R1_001.fastq.gz	data/NTM00075_S41_R2_001.fastq.gz
NTM01480	MGX_DATA	data/NTM01480_S93_R1_001.fastq.gz	data/NTM01480_S93_R2_001.fastq.gz
NTM01464	MGX_DATA	data/NTM01464_S109_R1_001.fastq.gz	data/NTM01464_S109_R2_001.fastq.gz
NTM01102	MGX_DATA	data/NTM01102_S101_R1_001.fastq.gz	data/NTM01102_S101_R2_001.fastq.gz
NTM00640	MGX_DATA	data/NTM00640_S56_R1_001.fastq.gz	data/NTM00640_S56_R2_001.fastq.gz
NTM00175	MGX_DATA	data/NTM00175_S83_R1_001.fastq.gz	data/NTM00175_S83_R2_001.fastq.gz
NTM00194	MGX_DATA	data/NTM00194_S70_R1_001.fastq.gz	data/NTM00194_S70_R2_001.fastq.gz
NTM00025	MGX_DATA	data/NTM00025_S81_R1_001.fastq.gz	data/NTM00025_S81_R2_001.fastq.gz
NTM01032	MGX_DATA	data/NTM01032_S102_R1_001.fastq.gz	data/NTM01032_S102_R2_001.fastq.gz
NTM01145	MGX_DATA	data/NTM01145_S46_R1_001.fastq.gz	data/NTM01145_S46_R2_001.fastq.gz
NTM00373	MGX_DATA	data/NTM00373_S85_R1_001.fastq.gz	data/NTM00373_S85_R2_001.fastq.gz
NTM01288	MGX_DATA	data/NTM01288_S89_R1_001.fastq.gz	data/NTM01288_S89_R2_001.fastq.gz
NTM00388	MGX_DATA	data/NTM00388_S37_R1_001.fastq.gz	data/NTM00388_S37_R2_001.fastq.gz
NTM00340	MGX_DATA	data/NTM00340_S31_R1_001.fastq.gz	data/NTM00340_S31_R2_001.fastq.gz
NTM00100	MGX_DATA	data/NTM00100_S63_R1_001.fastq.gz	data/NTM00100_S63_R2_001.fastq.gz
NTM00165	MGX_DATA	data/NTM00165_S22_R1_001.fastq.gz	data/NTM00165_S22_R2_001.fastq.gz
