sample	dataset	forward_read	reverse_read
20221219-B16-LyPMA	MGX_DATA	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_B16_LyPMA_L001_ds.6369eacd46134b8e815586d1fa54a0f9/20221219-B16-LyPMA_S4_L001_R1_001.fastq.gz	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_B16_LyPMA_L001_ds.6369eacd46134b8e815586d1fa54a0f9/20221219-B16-LyPMA_S4_L001_R2_001.fastq.gz
20221219-B17-LyPMA	MGX_DATA	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_B17_LyPMA_L001_ds.08abf6ab642742ec85d81c8db6ad61a2/20221219-B17-LyPMA_S5_L001_R1_001.fastq.gz	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_B17_LyPMA_L001_ds.08abf6ab642742ec85d81c8db6ad61a2/20221219-B17-LyPMA_S5_L001_R2_001.fastq.gz
20221219-B18-LyPMA	MGX_DATA	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_B18_LyPMA_L001_ds.f02797606ee24bcea679c826ec03e80b/20221219-B18-LyPMA_S6_L001_R1_001.fastq.gz	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_B18_LyPMA_L001_ds.f02797606ee24bcea679c826ec03e80b/20221219-B18-LyPMA_S6_L001_R2_001.fastq.gz
20221219-B19-LyPMA	MGX_DATA	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_B19_LyPMA_L001_ds.561567c474e74638b6ec6f4dedc71c63/20221219-B19-LyPMA_S7_L001_R1_001.fastq.gz	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_B19_LyPMA_L001_ds.561567c474e74638b6ec6f4dedc71c63/20221219-B19-LyPMA_S7_L001_R2_001.fastq.gz
20221219-B20-LyPMA	MGX_DATA	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_B20_LyPMA_L001_ds.8215b1a26f44439680e44a02a02c7cd9/20221219-B20-LyPMA_S1_L001_R1_001.fastq.gz	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_B20_LyPMA_L001_ds.8215b1a26f44439680e44a02a02c7cd9/20221219-B20-LyPMA_S1_L001_R2_001.fastq.gz
20221219-B21-LyPMA	MGX_DATA	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_B21_LyPMA_L001_ds.c1dcfdb95b8943c3840ed364e70f9a6e/20221219-B21-LyPMA_S8_L001_R1_001.fastq.gz	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_B21_LyPMA_L001_ds.c1dcfdb95b8943c3840ed364e70f9a6e/20221219-B21-LyPMA_S8_L001_R2_001.fastq.gz
20221219-B22-LyPMA	MGX_DATA	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_B22_LyPMA_L001_ds.bd2fd63c3baa407aa0b36a872256e4f8/20221219-B22-LyPMA_S3_L001_R1_001.fastq.gz	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_B22_LyPMA_L001_ds.bd2fd63c3baa407aa0b36a872256e4f8/20221219-B22-LyPMA_S3_L001_R2_001.fastq.gz
20221219-B23-LyPMA	MGX_DATA	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_B23_LyPMA_L001_ds.8aaeb8ef00aa41b081c8ed423fbcc5a5/20221219-B23-LyPMA_S2_L001_R1_001.fastq.gz	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_B23_LyPMA_L001_ds.8aaeb8ef00aa41b081c8ed423fbcc5a5/20221219-B23-LyPMA_S2_L001_R2_001.fastq.gz
20221219-Comunal-Zymo	MGX_DATA	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_Comunal_Zymo_L001_ds.99d574ccc8544b8f8f1ce06272986b31/20221219-Comunal-Zymo_S9_L001_R1_001.fastq.gz	/projects/p31648/bmoe008_LibraryFragmentLength/20221219_Comunal_Zymo_L001_ds.99d574ccc8544b8f8f1ce06272986b31/20221219-Comunal-Zymo_S9_L001_R2_001.fastq.gz
20221221-B16-LyPMA	MGX_DATA	/projects/p31648/bmoe008_LibraryFragmentLength/20221221_B16_LyPMA_L001_ds.5828c1dc284a4c1d8e47c0e7c83cb693/20221221-B16-LyPMA_S13_L001_R1_001.fastq.gz	/projects/p31648/bmoe008_LibraryFragmentLength/20221221_B16_LyPMA_L001_ds.5828c1dc284a4c1d8e47c0e7c83cb693/20221221-B16-LyPMA_S13_L001_R2_001.fastq.gz
20221221-B17-LyPMA	MGX_DATA	/projects/p31648/bmoe008_LibraryFragmentLength/20221221_B17_LyPMA_L001_ds.613a8cc2ed604f7790e02eec52d36613/20221221-B17-LyPMA_S14_L001_R1_001.fastq.gz	/projects/p31648/bmoe008_LibraryFragmentLength/20221221_B17_LyPMA_L001_ds.613a8cc2ed604f7790e02eec52d36613/20221221-B17-LyPMA_S14_L001_R2_001.fastq.gz
20221221-B18-LyPMA	MGX_DATA	/projects/p31648/bmoe008_LibraryFragmentLength/20221221_B18_LyPMA_L001_ds.09a1aebfa8954bd58c7050887c36cd06/20221221-B18-LyPMA_S15_L001_R1_001.fastq.gz	/projects/p31648/bmoe008_LibraryFragmentLength/20221221_B18_LyPMA_L001_ds.09a1aebfa8954bd58c7050887c36cd06/20221221-B18-LyPMA_S15_L001_R2_001.fastq.gz
20221221-B20-LyPMA	MGX_DATA	/projects/p31648/bmoe008_LibraryFragmentLength/20221221_B20_LyPMA_L001_ds.c86d73f55bff42dfa2eed801fc72d008/20221221-B20-LyPMA_S10_L001_R1_001.fastq.gz	/projects/p31648/bmoe008_LibraryFragmentLength/20221221_B20_LyPMA_L001_ds.c86d73f55bff42dfa2eed801fc72d008/20221221-B20-LyPMA_S10_L001_R2_001.fastq.gz
20221221-B22-LyPMA	MGX_DATA	/projects/p31648/bmoe008_LibraryFragmentLength/20221221_B22_LyPMA_L001_ds.4fc4285a61314305aa96702f9f16bb3d/20221221-B22-LyPMA_S12_L001_R1_001.fastq.gz	/projects/p31648/bmoe008_LibraryFragmentLength/20221221_B22_LyPMA_L001_ds.4fc4285a61314305aa96702f9f16bb3d/20221221-B22-LyPMA_S12_L001_R2_001.fastq.gz
20221221-B23-LyPMA	MGX_DATA	/projects/p31648/bmoe008_LibraryFragmentLength/20221221_B23_LyPMA_L001_ds.a8b0afa453db44c6a0ace6d1dfdf2dd1/20221221-B23-LyPMA_S11_L001_R1_001.fastq.gz	/projects/p31648/bmoe008_LibraryFragmentLength/20221221_B23_LyPMA_L001_ds.a8b0afa453db44c6a0ace6d1dfdf2dd1/20221221-B23-LyPMA_S11_L001_R2_001.fastq.gz
20221221-Comunal-Zymo	MGX_DATA	/projects/p31648/bmoe008_LibraryFragmentLength/20221221_Comunal_Zymo_L001_ds.1745615841ca4f45a13922b3d1d94b33/20221221-Comunal-Zymo_S16_L001_R1_001.fastq.gz	/projects/p31648/bmoe008_LibraryFragmentLength/20221221_Comunal_Zymo_L001_ds.1745615841ca4f45a13922b3d1d94b33/20221221-Comunal-Zymo_S16_L001_R2_001.fastq.gz
