sample	dataset
B01-community-standard-10-ng_S28_L001	Batch_01
B02-community-standard-10-ng_S55_L002	Batch_02
B02-community-standard-1-ng_S29_L001	Batch_02
B02-community-standard-1-ng_S54_L002	Batch_02
community-standard-10ng_S30_L001	Batch_02
community-standard-1ng_S31_L001	Batch_02
DNA-B01-01_S1_L001	Batch_01
DNA-B01-02_S2_L001	Batch_01
DNA-B01-03_S3_L001	Batch_01
DNA-B01-04_S4_L001	Batch_01
DNA-B01-07_S7_L001	Batch_01
DNA-B01-08_S8_L001	Batch_01
DNA-B01-10_S9_L001	Batch_01
DNA-B01-11_S10_L001	Batch_01
DNA-B01-13_S11_L001	Batch_01
DNA-B01-14_S12_L001	Batch_01
DNA-B01-15_S13_L001	Batch_01
DNA-B01-16_S14_L001	Batch_01
DNA-B01-17_S15_L001	Batch_01
DNA-B01-18_S16_L001	Batch_01
DNA-B01-19_S17_L001	Batch_01
DNA-B01-20_S18_L001	Batch_01
DNA-B01-21_S19_L001	Batch_01
DNA-B01-22_S20_L001	Batch_01
DNA-B01-23_S21_L001	Batch_01
DNA-B01-24_S22_L001	Batch_01
DNA-B01-25_S23_L001	Batch_01
DNA-B01-26_S24_L001	Batch_01
DNA-B01-27_S25_L001	Batch_01
DNA-B01-28_S26_L001	Batch_01
DNA-B01-30_S27_L001	Batch_01
DNA-B02-01_S30_L002	Batch_02
DNA-B02-02_S31_L002	Batch_02
DNA-B02-04_S32_L002	Batch_02
DNA-B02-05_S33_L002	Batch_02
DNA-B02-06_S34_L002	Batch_02
DNA-B02-07_S35_L002	Batch_02
DNA-B02-08_S36_L002	Batch_02
DNA-B02-09_S37_L002	Batch_02
DNA-B02-11_S38_L002	Batch_02
DNA-B02-12_S39_L002	Batch_02
DNA-B02-13_S40_L002	Batch_02
DNA-B02-15_S41_L002	Batch_02
DNA-B02-16_S42_L002	Batch_02
DNA-B02-17_S43_L002	Batch_02
DNA-B02-19_S44_L002	Batch_02
DNA-B02-21_S45_L002	Batch_02
DNA-B02-22_S46_L002	Batch_02
DNA-B02-23_S47_L002	Batch_02
DNA-B02-24_S48_L002	Batch_02
DNA-B02-25_S49_L002	Batch_02
DNA-B02-26_S50_L002	Batch_02
DNA-B02-27_S51_L002	Batch_02
DNA-B02-28_S52_L002	Batch_02
DNA-B02-29_S53_L002	Batch_02
DNA-B03-01_S1_L001	Batch_03
DNA-B03-02_S2_L001	Batch_03
DNA-B03-03_S3_L001	Batch_03
DNA-B03-04_S4_L001	Batch_03
DNA-B03-05_S5_L001	Batch_03
DNA-B03-06_S6_L001	Batch_03
DNA-B03-07_S7_L001	Batch_03
DNA-B03-08_S8_L001	Batch_03
DNA-B03-09_S9_L001	Batch_03
DNA-B03-10_S10_L001	Batch_03
