sample	dataset
B01_community_standard_10_ng_S28_L001	Batch_01
B02_community_standard_10_ng_S55_L002	Batch_02
B02_community_standard_1_ng_S29_L001	Batch_02
B02_community_standard_1_ng_S54_L002	Batch_02
DNA_B01_01_S1_L001	Batch_01
DNA_B01_02_S2_L001	Batch_01
DNA_B01_03_S3_L001	Batch_01
DNA_B02_01_S30_L002	Batch_02
DNA_B02_02_S31_L002	Batch_02
DNA_B02_04_S32_L002	Batch_02
DNA_B03_01_S1_L001	Batch_03
DNA_B03_02_S2_L001	Batch_03
DNA_B03_03_S3_L001	Batch_03
community_standard_10ng_S30_L001	Batch_03
community_standard_1ng_S31_L001	Batch_03
